Id,board,a_star_search
57,.............;.e.E-D-h-B-H.;.|.|.|...|...;.b-f-A-+.d-+.;.|.|.|.|.|.|.;.+-+.G.^-g-c.;.|.|.|.|...|.;.+-a-C-F-+-+.;.............;,ullludrurrrrlddrdllllruuu
59,.............;.+-a.d-H-+-F.;.|.|.|.|.|...;.e-+-c-b-G-E.;...|.|.|.|...;.+-A-B-^.g-+.;.|.|.|.|.|...;.D.C-f-h-+-+.;.............;,ulllrudddrrruurlurlllddlld
61,.............;.b-h-+-+-C.H.;.|.|.|.|.|.|.;.+-F-+-D.B-+.;.|.|.|...|.|.;.+-c-G-^.+.g.;.....|.|.|.|.;.E-a-d-e-A-f.;.............;,dlllrrrrruululdldluulrrrrdru
63,.............;.C-e-H-F.G-+.;.|.|.|...|.|.;.+-+-+-A-B-+.;.|...|.|.|...;.E-g-c.^-f-h.;.|.|...|...|.;.+-a-b-D-d-+.;.............;,rrdllllururrudllurllldd
65,.............;.b.E-g-F-C-+.;.|...|.|.|.|.;.+-A-e-D-c.+.;.|...|.|.|.|.;.+-d.f-^-+-G.;.|.|...|.|.|.;.B-H.+-+-a-h.;.............;,drrllululludddrulurrulrrdruddr
67,.............;.c-g-f.+.+.+.;.|.|.|.|.|.|.;.+-b-A-D-h-B.;.|.|.|.|.|.|.;.E.C-F-^-+-a.;.....|.|.|.|.;.e-+-H.+-G-d.;.............;,ldllrruuullddurdrrdrruullldd
69,.............;.d.+.g-h-+-D.;.|.|.|.|.|.|.;.+-F-+-+-+-A.;.|.|.....|.|.;.E-B.e-^.f-c.;.|...|.|.|.|.;.C-a-b-H-+-G.;.............;,ldlluuudrrurrrdddludlllluru
71,.............;.h.a-+-f.A-+.;.|.|.|.|.|.|.;.b-+-H-+.e-c.;.|.|.|.|.|.|.;.g-+.B-^-+-+.;.|.|...|.|.|.;.G.E-d-F-D.C.;.............;,uulldludddurdrrruuudrddullluldd
73,.............;.E.H-+-+-a.c.;.|.|.|.|.|.|.;.I-f-A-D-b.g.;.|...|.....|.;.i-e-F-^-h-G.;.|.|.|.|.|.|.;.J-j-C-+-d.B.;.............;,rruuddldllllurluudrurrrdlldrrrd
75,.............;.+-f-a-E-g-H.;.|.|.|.|.|.|.;.i-c.+-D.G-j.;...|.|.|.|.|.;.I-F-B-^.b-d.;.|...|...|.|.;.h-C-+-A.J-e.;.............;,uurdrddluuullldlrdldrrrluruurr
77,.............;.e-G.F-+-f-D.;.|.|.|.|.|...;.a.B-+-E.c-h.;.|...|...|.|.;.j-+-b-^-J-g.;.|.|.|.|.|...;.d-H-C-A-i-I.;.............;,rrulullddululdddrrrrrluuurlld
79,.............;.D.f-e-g-a-E.;.|.|.|.|.|...;.J-A-c.B-H-h.;.|.|.|.|.|.|.;.I-G-i-^-+.+.;...|.|.|.|.|.;.d-+.F-j-C.b.;.............;,luulrrrrldrdduullddrlluldlrulurlu
81,.............;.k-K-B.F-J-e.;.|.|.|.|.|.|.;.h-A-D-i-g-c.;.|.|.|...|...;.H.E-d-^-C-a.;...|.|.|...|.;.G-+-f-I-j.b.;.............;,drlluururrdldrdulldlllruulduurr
83,.............;.H-a-B-i-G.e.;.|.|.|...|.|.;.j-d.+-I-E-F.;.|...|.|.|.|.;.b-k-f-^-A-g.;.|.|.|...|...;.h-J-K-C.c-D.;.............;,lllururrrdruddldrluuudldldrllluuu
85,.............;.I-i-D-g-c.K.;.|...|.|.|.|.;.f-B-F-a-H-G.;.|.|.|.|.|.|.;.A.C-+.^-E.e.;.|.|.|.|.|.|.;.j-k.h-J.b-d.;.............;,urrddluuulllldddruurddrururu
87,.............;.H-i-g.K-j-C.;.|.|.|...|.|.;.A.f-B.d-I-E.;.|.|...|.|.|.;.b-+.J-^-c-e.;.|.|.|.|.|.|.;.a.G-h-F-D-k.;.............;,rruuldldldlulduuurrdlddrrrrluuul
89,.............;.D-c-b-J-H.h.;.|.|.|.|...|.;.K.k.j-d-f-F.;.|.|.|...|.|.;.e-E-A-^-C-G.;.|.|.|.|.|.|.;.I-+-B-i-g.a.;.............;,druurudddulllururlllduldddrrlurrr
91,.............;.+-F-K.k-g-i.;.|.|...|.|.|.;.h.J-j.b-B-E.;.|.|.|.|.|.|.;.f-c-I-^-G-d.;...|.|.|.|.|.;.a-C-e-D.H-A.;.............;,llludrdlrrruuurrdddluudldluulur
93,.............;.f-d-E-h.+-D.;.|.|.|.|.|.|.;.G-g-k-H-I-a.;.|...|.|.|...;.A-K.c.^-J-e.;.|.|.|.|.|.|.;.j-C.B-b-F-i.;.............;,rurldrdllluullddruluurrrdrdduuru
95,.............;.c-E-F-I.J-a.;.|.|.....|.|.;.h-H-A.+-j-f.;...|.|.|.|.|.;.G-b-d-^.K-g.;.|.|.|.|.|.|.;.B-C-e-i-k-D.;.............;,ldrrruluruldldlullurrrlldddlu
97,.............;.i-h-A.d-F.H.;.|...|.|.|.|.;.C-a-c-j-B-e.;.|.|.|.|.|.|.;.J-E-g-^-f-I.;.....|...|.|.;.b-K-G-k-+-D.;.............;,rdllllrruullurrdrurdrudddlllull
99,.............;.a-A-K-h-i-e.;...|.|.|.|.|.;.G-F-+-H-k-g.;.|.|...|...|.;.C-J.f-^-B-D.;.|.|.|...|.|.;.c-E-b.d-I-j.;.............;,ururdddllrulldllurulrulrrrddrr
101,.............;.C-G-D-d.b-+.;.|...|.|.|...;.A-H.j-K-k-F.;.|.|.|.|...|.;.i-B-a-^-g-h.;.|.|.|.|.|.|.;.E-c-f-J.e-I.;.............;,ludlldrrrurdruuludlullldrddl
103,.............;.c-i-D-E-+-I.;.|...|.|.|.|.;.F-d-h-G-k-K.;.|.|...|.|.|.;.C-A-b.^.f-J.;.|...|.|.|.|.;.g-H-e-B.j-a.;.............;,urddruulllulldrdldrrudruuulrrr
